company_name,company_category,company_place,company_url
뉴클(주),교육관련 자문 및 평가업,"서울 송파구 송파대로 201, B동 1707호 (문정동,송파테라타워2)",http://www.newkl.net
(주)지에스티,응용 소프트웨어 개발 및 공급업,"부산 북구 효열로 111, 302호 (금곡동,부산지식산업센터)",http://www.gsti.co.kr
(주)나라스페이스테크놀로지,기타 공학 연구개발업,No address,http://www.naraspace.com
뉴클(주),교육관련 자문 및 평가업,"서울 송파구 송파대로 201, B동 1707호 (문정동,송파테라타워2)",http://www.newkl.net
(주)하이브랩,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로 670, A동 8층 (삼평동,유스페이스2)",http://www.hivelab.co.kr
(재)만불회,협회·단체,경북 영천시 북안면 고지리 산46번지 만불사,http://www.manbulsa.org
(주)일신비츠온,전지 및 케이블 도매업,"경기 남양주시 진접읍 팔야산단로12번길 55, 56",http://vitson.co.kr
(주)두원전자통신,방송장비 제조업,"경기 부천시 오정구 석천로 397, 301동 408호 (삼정동,부천테크노파크3차)",http://www.doowoninc.com
한양이엔지(주),건축설계 및 관련 서비스업,경기 화성시 영통로26번길 72,http://www.hanyangeng.co.kr
윈덤그랜드부산,호텔·여행·항공,No address,https://www.wyndhamgrandbusan.com/kor/
센소파트코리아(주),그 외 기타 분류 안된 사업지원 서비스업,"경기 화성시 동탄첨단산업1로 27, B동 2층 35호, 36호 (영천동,금강펜테리움아이엑스타워)",http://www.sensopart.com/ko
